Date;Revenue/Expenditure;Sector;Value in Million Saudi Riyals
2020;Expenditures;Economic Resources;61463.096612345
2020;Expenditures;Public Administration;36217.7365764675
2020;Expenditures;Security and Regional Administration;115056.775916381
2021;Expenditures;Security and Regional Administration;106485.94953228
2022;Revenues;Total Revenues;1268164.0
2022;Expenditures;Education;201523.0
2022;Expenditures;Economic Resources;76519.0
2022;Expenditures;Municipality Service;75448.0
2022;Expenditures;Total Expenditure;1164309.0
2023;Expenditures;Economic Resources;85412.12406445
2023;Expenditures;Health & Social Development;255902.810904295
2023;Expenditures;Security and Regional Administration;114384.35857135
2024;Revenues;Oil Revenues;756623.945227635
2024;Expenditures;Infrastructure and Transport;44143.33903134
2025;Revenues;Total Revenues;1111826.37118468
2025;Expenditures;Education;212464.35076794
2025;Expenditures;Infrastructure and Transport;42351.46219553
